,Ref_Wave,Test_Wave,MOS,warp_q_mfcc,warp_q_mel,pesq
0,resources/Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir1/lpcnq.wav,3.823139469,0.7706814008178408,2.411832026470613,1.5666003227233887
1,resources/Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir1/lpcnq.wav,4.122819767,0.7786124396911593,2.2504620036740586,1.7483725547790527
2,resources/Genspeech/LPCNet_listening_test/mfall/dir2/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir2/lpcnq.wav,4.312159404,0.7991197313518339,2.3485746921297213,1.8847103118896484
3,resources/Genspeech/LPCNet_listening_test/vec18/dir2/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir2/lpcnq.wav,3.054721495,0.8430321370279584,2.4436768577625636,1.6839871406555176
4,resources/Genspeech/LPCNet_listening_test/mfall/dir3/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir3/lpcnq.wav,3.351932004,0.8029119935794975,1.9761641832859431,1.8568400144577026
5,resources/Genspeech/LPCNet_listening_test/vec18/dir3/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir3/lpcnq.wav,3.891214735,0.7608575356217523,2.423606673830026,1.5275757312774658
6,resources/Genspeech/LPCNet_listening_test/mfall/dir4/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir4/lpcnq.wav,3.710286068,0.7995772308216962,2.143014718775288,1.7918236255645752
7,resources/Genspeech/LPCNet_listening_test/vec18/dir4/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir4/lpcnq.wav,3.548417842,0.8409962908857096,2.463243737122214,1.4854625463485718
8,resources/Genspeech/LPCNet_listening_test/mfall/dir5/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir5/lpcnq.wav,3.510150591,0.8223713553377333,2.301854811289422,1.9996347427368164
9,resources/Genspeech/LPCNet_listening_test/vec18/dir5/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir5/lpcnq.wav,3.439382387,0.808195161670477,2.6251382828107976,1.5563685894012451
